[00:07:06:908]	[RECV] Port : 3, Title : ResponseApproachUnloading [Key : SubstrateName, Value : ZFWL391.5] [Key : LotId, Value : ] [Key : SubstrateType, Value : Core] [Key : RecipeId, Value : ]
[00:07:06:908]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:07:10:105]	[SEND] Port : 3, Title : RequestActionUnloading [Key : SubstrateName, Value : ZFWL391.5] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:07:10:206]	[RECV] Port : 3, Title : ResponseActionUnloading [Key : , Value : ]
[00:07:10:206]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:07:13:381]	[SEND] Port : 3, Title : RequestConfirmUnloading
[00:07:13:483]	[RECV] Port : 3, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:07:13:483]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:07:28:462]	[SEND] Port : 1, Title : RequestApproachLoading [Key : SubstrateName, Value : ZFWL391.8] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:07:28:573]	[RECV] Port : 1, Title : ResponseApproachLoading [Key : , Value : ]
[00:07:28:573]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:07:31:562]	[SEND] Port : 1, Title : RequestActionLoading [Key : SubstrateName, Value : ZFWL391.8] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:07:31:674]	[RECV] Port : 1, Title : ResponseActionLoading [Key : , Value : ]
[00:07:31:674]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:07:36:285]	[SEND] Port : 4, Title : RequestApproachUnloading
[00:07:36:391]	[RECV] Port : 4, Title : ResponseApproachUnloading [Key : SubstrateName, Value : MAO63842.4] [Key : LotId, Value : ] [Key : SubstrateType, Value : Bin3] [Key : RecipeId, Value : ]
[00:07:36:391]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:07:39:588]	[SEND] Port : 4, Title : RequestActionUnloading [Key : SubstrateName, Value : MAO63842.4] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:07:39:694]	[RECV] Port : 4, Title : ResponseActionUnloading [Key : , Value : ]
[00:07:39:694]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:07:42:863]	[SEND] Port : 4, Title : RequestConfirmUnloading
[00:07:42:978]	[RECV] Port : 4, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:07:42:978]	[SEND] Response Message > Port : 4, Ack : Ack, 
[00:07:57:865]	[SEND] Port : 2, Title : RequestApproachLoading [Key : SubstrateName, Value : MAO63842.7] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:07:57:979]	[RECV] Port : 2, Title : ResponseApproachLoading [Key : , Value : ]
[00:07:57:979]	[SEND] Response Message > Port : 2, Ack : Ack, 
